state_id,year,rand,get_out_vote_year,get_out_vote_states,turnout
1,2000,0.4118830973002423,0,1,0.4118830973002423
2,2002,0.3532345499852183,0,1,0.3532345499852183
3,2004,0.3823647116456067,1,1,0.4823647116456067
4,2006,0.35160863423788324,1,1,0.4516086342378832
5,2000,0.40492623908115305,0,1,0.40492623908115305
6,2002,0.4020535065172678,0,1,0.4020535065172678
7,2004,0.3468921145446342,1,1,0.4468921145446342
8,2006,0.34303356857066364,1,1,0.44303356857066367
9,2000,0.3780530245577237,0,1,0.3780530245577237
10,2002,0.3551802295270994,0,1,0.3551802295270994
11,2004,0.3793833731683592,1,1,0.4793833731683592
12,2006,0.34206103742399735,1,1,0.4420610374239974
13,2000,0.387433012812574,0,1,0.387433012812574
14,2002,0.34669507928403875,0,1,0.34669507928403875
15,2004,0.3562758771863412,1,1,0.4562758771863412
16,2006,0.34670192204217526,1,1,0.4467019220421753
17,2000,0.40111261867856024,0,1,0.40111261867856024
18,2002,0.38559042533455956,0,1,0.38559042533455956
19,2004,0.36850941295209577,1,1,0.4685094129520958
20,2006,0.39074202843299305,1,1,0.4907420284329931
21,2000,0.4095016302429788,0,1,0.4095016302429788
22,2002,0.34656142047041744,0,1,0.34656142047041744
23,2004,0.3596275234786524,1,1,0.45962752347865243
24,2006,0.3522679163689423,1,1,0.45226791636894226
25,2000,0.3786742456637923,0,1,0.3786742456637923
26,2002,0.36951907630930403,0,0,0.36951907630930403
27,2004,0.3356055045906042,1,0,0.3356055045906042
28,2006,0.33234389931667396,1,0,0.33234389931667396
29,2000,0.3764727364920149,0,0,0.3764727364920149
30,2002,0.35456921944361935,0,0,0.35456921944361935
31,2004,0.3602485911899387,1,0,0.3602485911899387
32,2006,0.27832282945320513,1,0,0.27832282945320513
33,2000,0.37476366020339424,0,0,0.37476366020339424
34,2002,0.35013901182294543,0,0,0.35013901182294543
35,2004,0.35717498898928396,1,0,0.35717498898928396
36,2006,0.3430431186246719,1,0,0.3430431186246719
37,2000,0.3893986666331105,0,0,0.3893986666331105
38,2002,0.37730973657358186,0,0,0.37730973657358186
39,2004,0.32809585243501005,1,0,0.32809585243501005
40,2006,0.32950930370315173,1,0,0.32950930370315173
41,2000,0.39427092228177096,0,0,0.39427092228177096
42,2002,0.32713011566371936,0,0,0.32713011566371936
43,2004,0.3162406193078577,1,0,0.3162406193078577
44,2006,0.3191312857750592,1,0,0.3191312857750592
45,2000,0.36574115783808553,0,0,0.36574115783808553
46,2002,0.331122425150171,0,0,0.331122425150171
47,2004,0.3234835813283547,1,0,0.3234835813283547
48,2006,0.3417839151724816,1,0,0.3417839151724816
49,2000,0.37280366738426157,0,0,0.37280366738426157
50,2002,0.35495735640315373,0,0,0.35495735640315373
1,2004,0.3348720022564022,1,1,0.4348720022564022
2,2006,0.3588399836477406,1,1,0.4588399836477406
3,2000,0.390042560758592,0,1,0.390042560758592
4,2002,0.3865994318996169,0,1,0.3865994318996169
5,2004,0.36498890343788154,1,1,0.4649889034378816
6,2006,0.33319594835978034,1,1,0.43319594835978037
7,2000,0.3668419214558021,0,1,0.3668419214558021
8,2002,0.37001820913715644,0,1,0.37001820913715644
9,2004,0.36802505924686424,1,1,0.4680250592468642
10,2006,0.35182979506444245,1,1,0.45182979506444243
11,2000,0.41990175622611003,0,1,0.41990175622611003
12,2002,0.3922747939418915,0,1,0.3922747939418915
13,2004,0.3510466237669672,1,1,0.45104662376696725
14,2006,0.3517219313133498,1,1,0.4517219313133498
15,2000,0.4150305502675721,0,1,0.4150305502675721
16,2002,0.39497097370848827,0,1,0.39497097370848827
17,2004,0.3417089744051982,1,1,0.4417089744051982
18,2006,0.30125707361269716,1,1,0.40125707361269713
19,2000,0.4011953392836182,0,1,0.4011953392836182
20,2002,0.3964739201157522,0,1,0.3964739201157522
21,2004,0.35703513854488955,1,1,0.45703513854488953
22,2006,0.3172896961408359,1,1,0.4172896961408359
23,2000,0.3744356767783936,0,1,0.3744356767783936
24,2002,0.3895315140922703,0,1,0.3895315140922703
25,2004,0.3492459223924811,1,1,0.44924592239248107
26,2006,0.2855127849746649,1,0,0.2855127849746649
27,2000,0.3826053884085932,0,0,0.3826053884085932
28,2002,0.35066748786410096,0,0,0.35066748786410096
29,2004,0.32450696822416686,1,0,0.32450696822416686
30,2006,0.32843500940950426,1,0,0.32843500940950426
31,2000,0.3673262468962074,0,0,0.3673262468962074
32,2002,0.4220002816513034,0,0,0.4220002816513034
33,2004,0.3363747419250782,1,0,0.3363747419250782
34,2006,0.29032497573909194,1,0,0.29032497573909194
35,2000,0.38464986612460744,0,0,0.38464986612460744
36,2002,0.34690950201237225,0,0,0.34690950201237225
37,2004,0.38029034226211794,1,0,0.38029034226211794
38,2006,0.3229161443835733,1,0,0.3229161443835733
39,2000,0.3966341113323886,0,0,0.3966341113323886
40,2002,0.3398695581932986,0,0,0.3398695581932986
41,2004,0.34679085148658095,1,0,0.34679085148658095
42,2006,0.31005912741951486,1,0,0.31005912741951486
43,2000,0.3610749108880461,0,0,0.3610749108880461
44,2002,0.35551044957386446,0,0,0.35551044957386446
45,2004,0.338916500055254,1,0,0.338916500055254
46,2006,0.3434625366848929,1,0,0.3434625366848929
47,2000,0.4077191108135296,0,0,0.4077191108135296
48,2002,0.37709547347452105,0,0,0.37709547347452105
49,2004,0.3515564888180328,1,0,0.3515564888180328
50,2006,0.337879710417645,1,0,0.337879710417645
1,2000,0.40370384840789975,0,1,0.40370384840789975
2,2002,0.39603986819790316,0,1,0.39603986819790316
3,2004,0.3610167918249317,1,1,0.4610167918249317
4,2006,0.35336159145457324,1,1,0.4533615914545732
5,2000,0.42252859881598354,0,1,0.42252859881598354
6,2002,0.39516962130280997,0,1,0.39516962130280997
7,2004,0.33986011719132597,1,1,0.439860117191326
8,2006,0.32208369584986624,1,1,0.42208369584986627
9,2000,0.3810398509118638,0,1,0.3810398509118638
10,2002,0.3830282153962456,0,1,0.3830282153962456
11,2004,0.37047050438750245,1,1,0.4704705043875025
12,2006,0.3622208463581597,1,1,0.46222084635815974
13,2000,0.3599008000650137,0,1,0.3599008000650137
14,2002,0.35097636280076244,0,1,0.35097636280076244
15,2004,0.3824745344630981,1,1,0.48247453446309807
16,2006,0.336223828464474,1,1,0.43622382846447405
17,2000,0.4217108154740982,0,1,0.4217108154740982
18,2002,0.3409048243956085,0,1,0.3409048243956085
19,2004,0.3389463779825309,1,1,0.4389463779825309
20,2006,0.33872504633834605,1,1,0.4387250463383461
21,2000,0.40319794016430727,0,1,0.40319794016430727
22,2002,0.3768445011431782,0,1,0.3768445011431782
23,2004,0.342623305550278,1,1,0.44262330555027796
24,2006,0.3560285519779124,1,1,0.45602855197791237
25,2000,0.44264721663253265,0,1,0.44264721663253265
26,2002,0.37409222910238205,0,0,0.37409222910238205
27,2004,0.32265370617047834,1,0,0.32265370617047834
28,2006,0.36258724446976764,1,0,0.36258724446976764
29,2000,0.3858330347612222,0,0,0.3858330347612222
30,2002,0.34633184590650784,0,0,0.34633184590650784
31,2004,0.3350534757413373,1,0,0.3350534757413373
32,2006,0.2950804969713586,1,0,0.2950804969713586
33,2000,0.37554109348157616,0,0,0.37554109348157616
34,2002,0.3417525120051221,0,0,0.3417525120051221
35,2004,0.3244493727172497,1,0,0.3244493727172497
36,2006,0.3167625136637242,1,0,0.3167625136637242
37,2000,0.37578015113451835,0,0,0.37578015113451835
38,2002,0.3586457490436707,0,0,0.3586457490436707
39,2004,0.3314061480333595,1,0,0.3314061480333595
40,2006,0.3041419866647053,1,0,0.3041419866647053
41,2000,0.39279245663581797,0,0,0.39279245663581797
42,2002,0.37295435301510416,0,0,0.37295435301510416
43,2004,0.3275500031998057,1,0,0.3275500031998057
44,2006,0.32795892610388216,1,0,0.32795892610388216
45,2000,0.3928328205270853,0,0,0.3928328205270853
46,2002,0.38937468413903614,0,0,0.38937468413903614
47,2004,0.3506217147812989,1,0,0.3506217147812989
48,2006,0.3442971444501422,1,0,0.3442971444501422
49,2000,0.4103463233577898,0,0,0.4103463233577898
50,2002,0.36434500804120473,0,0,0.36434500804120473
1,2004,0.3907337273203451,1,1,0.49073372732034515
2,2006,0.31283101475273273,1,1,0.41283101475273276
3,2000,0.41432809502414353,0,1,0.41432809502414353
4,2002,0.3616710952495273,0,1,0.3616710952495273
5,2004,0.37469978113510116,1,1,0.47469978113510114
6,2006,0.3616602094344218,1,1,0.46166020943442176
7,2000,0.41753533021035233,0,1,0.41753533021035233
8,2002,0.3936019981306906,0,1,0.3936019981306906
9,2004,0.36525006654586384,1,1,0.46525006654586387
